replacement_for,source_id,source_owner,ecosystem,study_family,preferred_stratum,replacement_reason,replacement_status,replacement_artifact_id
ext-art-041,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-042,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-043,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-044,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-045,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-046,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-047,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-048,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-049,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-050,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-051,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-052,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-053,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-054,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-055,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-056,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-057,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-058,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-059,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-060,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-081,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-082,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-083,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-084,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-085,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-086,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-087,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|manifest_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-088,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-089,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-090,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-091,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-092,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-093,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-094,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-095,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-096,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-097,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-098,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-099,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-100,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-101,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-102,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-103,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-104,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-105,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-106,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-107,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-108,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-109,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-110,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-111,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-112,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-113,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-114,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-115,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-116,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-117,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-118,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-119,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-120,mcp-reference-servers,modelcontextprotocol,model-context-protocol,mcp_and_tool_recipes,mcp_and_tool_recipes|model-context-protocol|modelcontextprotocol|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
