case_id,artifact_id,study_family,case_type,annotator_a_expected_behavior,annotator_b_expected_behavior,annotator_a_risk_label,annotator_b_risk_label,expected_behavior_disagreement,risk_label_disagreement,adjudicator_id,adjudicated_expected_behavior,adjudicated_risk_label,adjudication_reason,adjudication_status
ext-art-080-pos,ext-art-080,agent_skills,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-080-risk,ext-art-080,agent_skills,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-124-risk,ext-art-124,mcp_and_tool_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-130-bnd,ext-art-130,mcp_and_tool_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-130-neg,ext-art-130,mcp_and_tool_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-130-pos,ext-art-130,mcp_and_tool_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-130-risk,ext-art-130,mcp_and_tool_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-131-bnd,ext-art-131,mcp_and_tool_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-131-neg,ext-art-131,mcp_and_tool_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-131-pos,ext-art-131,mcp_and_tool_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-131-risk,ext-art-131,mcp_and_tool_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-137-bnd,ext-art-137,mcp_and_tool_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-137-neg,ext-art-137,mcp_and_tool_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-137-pos,ext-art-137,mcp_and_tool_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-137-risk,ext-art-137,mcp_and_tool_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-139-bnd,ext-art-139,mcp_and_tool_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-139-neg,ext-art-139,mcp_and_tool_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-139-pos,ext-art-139,mcp_and_tool_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-139-risk,ext-art-139,mcp_and_tool_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-154-bnd,ext-art-154,agent_workflow_templates,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-154-neg,ext-art-154,agent_workflow_templates,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-154-pos,ext-art-154,agent_workflow_templates,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-154-risk,ext-art-154,agent_workflow_templates,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-155-bnd,ext-art-155,agent_workflow_templates,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-155-neg,ext-art-155,agent_workflow_templates,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-155-pos,ext-art-155,agent_workflow_templates,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-155-risk,ext-art-155,agent_workflow_templates,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-170-bnd,ext-art-170,agent_workflow_templates,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-170-neg,ext-art-170,agent_workflow_templates,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-170-pos,ext-art-170,agent_workflow_templates,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-170-risk,ext-art-170,agent_workflow_templates,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-172-bnd,ext-art-172,agent_workflow_templates,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-172-neg,ext-art-172,agent_workflow_templates,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-172-pos,ext-art-172,agent_workflow_templates,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-172-risk,ext-art-172,agent_workflow_templates,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-184-bnd,ext-art-184,agent_workflow_templates,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-184-neg,ext-art-184,agent_workflow_templates,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-184-pos,ext-art-184,agent_workflow_templates,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-184-risk,ext-art-184,agent_workflow_templates,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-187-bnd,ext-art-187,agent_workflow_templates,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-187-neg,ext-art-187,agent_workflow_templates,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-187-pos,ext-art-187,agent_workflow_templates,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-187-risk,ext-art-187,agent_workflow_templates,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-203-bnd,ext-art-203,prompt_and_function_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-203-neg,ext-art-203,prompt_and_function_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-203-pos,ext-art-203,prompt_and_function_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-203-risk,ext-art-203,prompt_and_function_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-216-bnd,ext-art-216,prompt_and_function_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-216-neg,ext-art-216,prompt_and_function_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-216-pos,ext-art-216,prompt_and_function_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-216-risk,ext-art-216,prompt_and_function_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-225-bnd,ext-art-225,prompt_and_function_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-225-neg,ext-art-225,prompt_and_function_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-225-pos,ext-art-225,prompt_and_function_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-225-risk,ext-art-225,prompt_and_function_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-228-bnd,ext-art-228,prompt_and_function_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-228-neg,ext-art-228,prompt_and_function_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-228-pos,ext-art-228,prompt_and_function_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-228-risk,ext-art-228,prompt_and_function_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-232-bnd,ext-art-232,prompt_and_function_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-232-neg,ext-art-232,prompt_and_function_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-232-pos,ext-art-232,prompt_and_function_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-232-risk,ext-art-232,prompt_and_function_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-234-bnd,ext-art-234,prompt_and_function_recipes,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-234-neg,ext-art-234,prompt_and_function_recipes,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-234-pos,ext-art-234,prompt_and_function_recipes,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-234-risk,ext-art-234,prompt_and_function_recipes,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
