condition_case_id,case_id,artifact_id,source_id,artifact_family_group,case_type,condition,expected_behavior,risk_label,representation_status,execution_status
ext-art-003-risk::original_freeform,ext-art-003-risk,ext-art-003,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-003-risk::skillops_normalized,ext-art-003-risk,ext-art-003,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-003-risk::skillops_ablation,ext-art-003-risk,ext-art-003,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-004-pos::original_freeform,ext-art-004-pos,ext-art-004,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-004-pos::skillops_normalized,ext-art-004-pos,ext-art-004,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-004-pos::skillops_ablation,ext-art-004-pos,ext-art-004,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-004-neg::original_freeform,ext-art-004-neg,ext-art-004,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-004-neg::skillops_normalized,ext-art-004-neg,ext-art-004,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-004-neg::skillops_ablation,ext-art-004-neg,ext-art-004,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-004-bnd::original_freeform,ext-art-004-bnd,ext-art-004,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-004-bnd::skillops_normalized,ext-art-004-bnd,ext-art-004,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-004-bnd::skillops_ablation,ext-art-004-bnd,ext-art-004,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-004-risk::original_freeform,ext-art-004-risk,ext-art-004,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-004-risk::skillops_normalized,ext-art-004-risk,ext-art-004,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-004-risk::skillops_ablation,ext-art-004-risk,ext-art-004,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-005-pos::original_freeform,ext-art-005-pos,ext-art-005,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-005-pos::skillops_normalized,ext-art-005-pos,ext-art-005,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-005-pos::skillops_ablation,ext-art-005-pos,ext-art-005,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-005-neg::original_freeform,ext-art-005-neg,ext-art-005,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-005-neg::skillops_normalized,ext-art-005-neg,ext-art-005,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-005-neg::skillops_ablation,ext-art-005-neg,ext-art-005,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-005-bnd::original_freeform,ext-art-005-bnd,ext-art-005,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-005-bnd::skillops_normalized,ext-art-005-bnd,ext-art-005,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-005-bnd::skillops_ablation,ext-art-005-bnd,ext-art-005,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-005-risk::original_freeform,ext-art-005-risk,ext-art-005,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-005-risk::skillops_normalized,ext-art-005-risk,ext-art-005,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-005-risk::skillops_ablation,ext-art-005-risk,ext-art-005,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-006-pos::original_freeform,ext-art-006-pos,ext-art-006,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-006-pos::skillops_normalized,ext-art-006-pos,ext-art-006,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-006-pos::skillops_ablation,ext-art-006-pos,ext-art-006,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-006-neg::original_freeform,ext-art-006-neg,ext-art-006,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-006-neg::skillops_normalized,ext-art-006-neg,ext-art-006,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-006-neg::skillops_ablation,ext-art-006-neg,ext-art-006,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-006-bnd::original_freeform,ext-art-006-bnd,ext-art-006,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-006-bnd::skillops_normalized,ext-art-006-bnd,ext-art-006,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-006-bnd::skillops_ablation,ext-art-006-bnd,ext-art-006,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-006-risk::original_freeform,ext-art-006-risk,ext-art-006,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-006-risk::skillops_normalized,ext-art-006-risk,ext-art-006,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-006-risk::skillops_ablation,ext-art-006-risk,ext-art-006,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-007-pos::original_freeform,ext-art-007-pos,ext-art-007,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-007-pos::skillops_normalized,ext-art-007-pos,ext-art-007,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-007-pos::skillops_ablation,ext-art-007-pos,ext-art-007,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-007-neg::original_freeform,ext-art-007-neg,ext-art-007,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-007-neg::skillops_normalized,ext-art-007-neg,ext-art-007,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-007-neg::skillops_ablation,ext-art-007-neg,ext-art-007,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-007-bnd::original_freeform,ext-art-007-bnd,ext-art-007,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-007-bnd::skillops_normalized,ext-art-007-bnd,ext-art-007,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-007-bnd::skillops_ablation,ext-art-007-bnd,ext-art-007,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-007-risk::original_freeform,ext-art-007-risk,ext-art-007,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-007-risk::skillops_normalized,ext-art-007-risk,ext-art-007,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-007-risk::skillops_ablation,ext-art-007-risk,ext-art-007,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-008-pos::original_freeform,ext-art-008-pos,ext-art-008,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-008-pos::skillops_normalized,ext-art-008-pos,ext-art-008,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-008-pos::skillops_ablation,ext-art-008-pos,ext-art-008,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-008-neg::original_freeform,ext-art-008-neg,ext-art-008,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-008-neg::skillops_normalized,ext-art-008-neg,ext-art-008,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-008-neg::skillops_ablation,ext-art-008-neg,ext-art-008,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-008-bnd::original_freeform,ext-art-008-bnd,ext-art-008,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-008-bnd::skillops_normalized,ext-art-008-bnd,ext-art-008,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-008-bnd::skillops_ablation,ext-art-008-bnd,ext-art-008,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-008-risk::original_freeform,ext-art-008-risk,ext-art-008,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-008-risk::skillops_normalized,ext-art-008-risk,ext-art-008,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-008-risk::skillops_ablation,ext-art-008-risk,ext-art-008,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-009-pos::original_freeform,ext-art-009-pos,ext-art-009,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-009-pos::skillops_normalized,ext-art-009-pos,ext-art-009,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-009-pos::skillops_ablation,ext-art-009-pos,ext-art-009,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-009-neg::original_freeform,ext-art-009-neg,ext-art-009,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-009-neg::skillops_normalized,ext-art-009-neg,ext-art-009,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-009-neg::skillops_ablation,ext-art-009-neg,ext-art-009,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-009-bnd::original_freeform,ext-art-009-bnd,ext-art-009,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-009-bnd::skillops_normalized,ext-art-009-bnd,ext-art-009,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-009-bnd::skillops_ablation,ext-art-009-bnd,ext-art-009,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-009-risk::original_freeform,ext-art-009-risk,ext-art-009,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-009-risk::skillops_normalized,ext-art-009-risk,ext-art-009,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-009-risk::skillops_ablation,ext-art-009-risk,ext-art-009,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-010-pos::original_freeform,ext-art-010-pos,ext-art-010,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-010-pos::skillops_normalized,ext-art-010-pos,ext-art-010,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-010-pos::skillops_ablation,ext-art-010-pos,ext-art-010,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-010-neg::original_freeform,ext-art-010-neg,ext-art-010,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-010-neg::skillops_normalized,ext-art-010-neg,ext-art-010,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-010-neg::skillops_ablation,ext-art-010-neg,ext-art-010,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-010-bnd::original_freeform,ext-art-010-bnd,ext-art-010,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-010-bnd::skillops_normalized,ext-art-010-bnd,ext-art-010,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-010-bnd::skillops_ablation,ext-art-010-bnd,ext-art-010,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-010-risk::original_freeform,ext-art-010-risk,ext-art-010,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-010-risk::skillops_normalized,ext-art-010-risk,ext-art-010,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-010-risk::skillops_ablation,ext-art-010-risk,ext-art-010,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-011-pos::original_freeform,ext-art-011-pos,ext-art-011,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-011-pos::skillops_normalized,ext-art-011-pos,ext-art-011,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-011-pos::skillops_ablation,ext-art-011-pos,ext-art-011,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-011-neg::original_freeform,ext-art-011-neg,ext-art-011,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-011-neg::skillops_normalized,ext-art-011-neg,ext-art-011,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-011-neg::skillops_ablation,ext-art-011-neg,ext-art-011,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-011-bnd::original_freeform,ext-art-011-bnd,ext-art-011,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-011-bnd::skillops_normalized,ext-art-011-bnd,ext-art-011,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-011-bnd::skillops_ablation,ext-art-011-bnd,ext-art-011,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-011-risk::original_freeform,ext-art-011-risk,ext-art-011,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-011-risk::skillops_normalized,ext-art-011-risk,ext-art-011,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-011-risk::skillops_ablation,ext-art-011-risk,ext-art-011,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-012-pos::original_freeform,ext-art-012-pos,ext-art-012,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-012-pos::skillops_normalized,ext-art-012-pos,ext-art-012,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-012-pos::skillops_ablation,ext-art-012-pos,ext-art-012,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-012-neg::original_freeform,ext-art-012-neg,ext-art-012,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-012-neg::skillops_normalized,ext-art-012-neg,ext-art-012,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-012-neg::skillops_ablation,ext-art-012-neg,ext-art-012,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-012-bnd::original_freeform,ext-art-012-bnd,ext-art-012,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-012-bnd::skillops_normalized,ext-art-012-bnd,ext-art-012,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-012-bnd::skillops_ablation,ext-art-012-bnd,ext-art-012,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-012-risk::original_freeform,ext-art-012-risk,ext-art-012,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-012-risk::skillops_normalized,ext-art-012-risk,ext-art-012,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-012-risk::skillops_ablation,ext-art-012-risk,ext-art-012,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-013-pos::original_freeform,ext-art-013-pos,ext-art-013,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-013-pos::skillops_normalized,ext-art-013-pos,ext-art-013,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-013-pos::skillops_ablation,ext-art-013-pos,ext-art-013,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-013-neg::original_freeform,ext-art-013-neg,ext-art-013,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-013-neg::skillops_normalized,ext-art-013-neg,ext-art-013,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-013-neg::skillops_ablation,ext-art-013-neg,ext-art-013,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-013-bnd::original_freeform,ext-art-013-bnd,ext-art-013,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-013-bnd::skillops_normalized,ext-art-013-bnd,ext-art-013,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-013-bnd::skillops_ablation,ext-art-013-bnd,ext-art-013,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-013-risk::original_freeform,ext-art-013-risk,ext-art-013,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-013-risk::skillops_normalized,ext-art-013-risk,ext-art-013,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-013-risk::skillops_ablation,ext-art-013-risk,ext-art-013,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-014-pos::original_freeform,ext-art-014-pos,ext-art-014,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-014-pos::skillops_normalized,ext-art-014-pos,ext-art-014,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-014-pos::skillops_ablation,ext-art-014-pos,ext-art-014,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-014-neg::original_freeform,ext-art-014-neg,ext-art-014,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-014-neg::skillops_normalized,ext-art-014-neg,ext-art-014,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
