condition_group_id,study_family,source_id,case_type,condition,target_evaluations,representation_rule
mcp-reference-servers::boundary_clarification::skillops_ablation,mcp_and_tool_recipes,mcp-reference-servers,boundary_clarification,skillops_ablation,40,Remove or weaken one preregistered lifecycle component while preserving task content.
mcp-reference-servers::risk_constraint::original_freeform,mcp_and_tool_recipes,mcp-reference-servers,risk_constraint,original_freeform,40,Use the native artifact form or metadata-preserving paraphrase allowed by license.
mcp-reference-servers::risk_constraint::skillops_normalized,mcp_and_tool_recipes,mcp-reference-servers,risk_constraint,skillops_normalized,40,Represent the same operational content with the SkillOps lifecycle fields.
mcp-reference-servers::risk_constraint::skillops_ablation,mcp_and_tool_recipes,mcp-reference-servers,risk_constraint,skillops_ablation,40,Remove or weaken one preregistered lifecycle component while preserving task content.
github-mcp-server::positive_trigger::original_freeform,mcp_and_tool_recipes,github-mcp-server,positive_trigger,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
github-mcp-server::positive_trigger::skillops_normalized,mcp_and_tool_recipes,github-mcp-server,positive_trigger,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
github-mcp-server::positive_trigger::skillops_ablation,mcp_and_tool_recipes,github-mcp-server,positive_trigger,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
github-mcp-server::negative_trigger::original_freeform,mcp_and_tool_recipes,github-mcp-server,negative_trigger,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
github-mcp-server::negative_trigger::skillops_normalized,mcp_and_tool_recipes,github-mcp-server,negative_trigger,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
github-mcp-server::negative_trigger::skillops_ablation,mcp_and_tool_recipes,github-mcp-server,negative_trigger,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
github-mcp-server::boundary_clarification::original_freeform,mcp_and_tool_recipes,github-mcp-server,boundary_clarification,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
github-mcp-server::boundary_clarification::skillops_normalized,mcp_and_tool_recipes,github-mcp-server,boundary_clarification,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
github-mcp-server::boundary_clarification::skillops_ablation,mcp_and_tool_recipes,github-mcp-server,boundary_clarification,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
github-mcp-server::risk_constraint::original_freeform,mcp_and_tool_recipes,github-mcp-server,risk_constraint,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
github-mcp-server::risk_constraint::skillops_normalized,mcp_and_tool_recipes,github-mcp-server,risk_constraint,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
github-mcp-server::risk_constraint::skillops_ablation,mcp_and_tool_recipes,github-mcp-server,risk_constraint,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-python::positive_trigger::original_freeform,agent_workflow_templates,openai-agents-python,positive_trigger,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-python::positive_trigger::skillops_normalized,agent_workflow_templates,openai-agents-python,positive_trigger,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-python::positive_trigger::skillops_ablation,agent_workflow_templates,openai-agents-python,positive_trigger,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-python::negative_trigger::original_freeform,agent_workflow_templates,openai-agents-python,negative_trigger,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-python::negative_trigger::skillops_normalized,agent_workflow_templates,openai-agents-python,negative_trigger,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-python::negative_trigger::skillops_ablation,agent_workflow_templates,openai-agents-python,negative_trigger,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-python::boundary_clarification::original_freeform,agent_workflow_templates,openai-agents-python,boundary_clarification,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-python::boundary_clarification::skillops_normalized,agent_workflow_templates,openai-agents-python,boundary_clarification,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-python::boundary_clarification::skillops_ablation,agent_workflow_templates,openai-agents-python,boundary_clarification,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-python::risk_constraint::original_freeform,agent_workflow_templates,openai-agents-python,risk_constraint,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-python::risk_constraint::skillops_normalized,agent_workflow_templates,openai-agents-python,risk_constraint,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-python::risk_constraint::skillops_ablation,agent_workflow_templates,openai-agents-python,risk_constraint,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-js::positive_trigger::original_freeform,agent_workflow_templates,openai-agents-js,positive_trigger,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-js::positive_trigger::skillops_normalized,agent_workflow_templates,openai-agents-js,positive_trigger,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-js::positive_trigger::skillops_ablation,agent_workflow_templates,openai-agents-js,positive_trigger,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-js::negative_trigger::original_freeform,agent_workflow_templates,openai-agents-js,negative_trigger,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-js::negative_trigger::skillops_normalized,agent_workflow_templates,openai-agents-js,negative_trigger,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-js::negative_trigger::skillops_ablation,agent_workflow_templates,openai-agents-js,negative_trigger,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-js::boundary_clarification::original_freeform,agent_workflow_templates,openai-agents-js,boundary_clarification,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-js::boundary_clarification::skillops_normalized,agent_workflow_templates,openai-agents-js,boundary_clarification,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-js::boundary_clarification::skillops_ablation,agent_workflow_templates,openai-agents-js,boundary_clarification,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
openai-agents-js::risk_constraint::original_freeform,agent_workflow_templates,openai-agents-js,risk_constraint,original_freeform,14,Use the native artifact form or metadata-preserving paraphrase allowed by license.
openai-agents-js::risk_constraint::skillops_normalized,agent_workflow_templates,openai-agents-js,risk_constraint,skillops_normalized,14,Represent the same operational content with the SkillOps lifecycle fields.
openai-agents-js::risk_constraint::skillops_ablation,agent_workflow_templates,openai-agents-js,risk_constraint,skillops_ablation,14,Remove or weaken one preregistered lifecycle component while preserving task content.
autogen-examples::positive_trigger::original_freeform,agent_workflow_templates,autogen-examples,positive_trigger,original_freeform,15,Use the native artifact form or metadata-preserving paraphrase allowed by license.
autogen-examples::positive_trigger::skillops_normalized,agent_workflow_templates,autogen-examples,positive_trigger,skillops_normalized,15,Represent the same operational content with the SkillOps lifecycle fields.
autogen-examples::positive_trigger::skillops_ablation,agent_workflow_templates,autogen-examples,positive_trigger,skillops_ablation,15,Remove or weaken one preregistered lifecycle component while preserving task content.
autogen-examples::negative_trigger::original_freeform,agent_workflow_templates,autogen-examples,negative_trigger,original_freeform,15,Use the native artifact form or metadata-preserving paraphrase allowed by license.
autogen-examples::negative_trigger::skillops_normalized,agent_workflow_templates,autogen-examples,negative_trigger,skillops_normalized,15,Represent the same operational content with the SkillOps lifecycle fields.
autogen-examples::negative_trigger::skillops_ablation,agent_workflow_templates,autogen-examples,negative_trigger,skillops_ablation,15,Remove or weaken one preregistered lifecycle component while preserving task content.
autogen-examples::boundary_clarification::original_freeform,agent_workflow_templates,autogen-examples,boundary_clarification,original_freeform,15,Use the native artifact form or metadata-preserving paraphrase allowed by license.
autogen-examples::boundary_clarification::skillops_normalized,agent_workflow_templates,autogen-examples,boundary_clarification,skillops_normalized,15,Represent the same operational content with the SkillOps lifecycle fields.
autogen-examples::boundary_clarification::skillops_ablation,agent_workflow_templates,autogen-examples,boundary_clarification,skillops_ablation,15,Remove or weaken one preregistered lifecycle component while preserving task content.
autogen-examples::risk_constraint::original_freeform,agent_workflow_templates,autogen-examples,risk_constraint,original_freeform,15,Use the native artifact form or metadata-preserving paraphrase allowed by license.
autogen-examples::risk_constraint::skillops_normalized,agent_workflow_templates,autogen-examples,risk_constraint,skillops_normalized,15,Represent the same operational content with the SkillOps lifecycle fields.
autogen-examples::risk_constraint::skillops_ablation,agent_workflow_templates,autogen-examples,risk_constraint,skillops_ablation,15,Remove or weaken one preregistered lifecycle component while preserving task content.
langgraph-template::positive_trigger::original_freeform,agent_workflow_templates,langgraph-template,positive_trigger,original_freeform,7,Use the native artifact form or metadata-preserving paraphrase allowed by license.
langgraph-template::positive_trigger::skillops_normalized,agent_workflow_templates,langgraph-template,positive_trigger,skillops_normalized,7,Represent the same operational content with the SkillOps lifecycle fields.
langgraph-template::positive_trigger::skillops_ablation,agent_workflow_templates,langgraph-template,positive_trigger,skillops_ablation,7,Remove or weaken one preregistered lifecycle component while preserving task content.
langgraph-template::negative_trigger::original_freeform,agent_workflow_templates,langgraph-template,negative_trigger,original_freeform,7,Use the native artifact form or metadata-preserving paraphrase allowed by license.
langgraph-template::negative_trigger::skillops_normalized,agent_workflow_templates,langgraph-template,negative_trigger,skillops_normalized,7,Represent the same operational content with the SkillOps lifecycle fields.
langgraph-template::negative_trigger::skillops_ablation,agent_workflow_templates,langgraph-template,negative_trigger,skillops_ablation,7,Remove or weaken one preregistered lifecycle component while preserving task content.
langgraph-template::boundary_clarification::original_freeform,agent_workflow_templates,langgraph-template,boundary_clarification,original_freeform,7,Use the native artifact form or metadata-preserving paraphrase allowed by license.
langgraph-template::boundary_clarification::skillops_normalized,agent_workflow_templates,langgraph-template,boundary_clarification,skillops_normalized,7,Represent the same operational content with the SkillOps lifecycle fields.
langgraph-template::boundary_clarification::skillops_ablation,agent_workflow_templates,langgraph-template,boundary_clarification,skillops_ablation,7,Remove or weaken one preregistered lifecycle component while preserving task content.
langgraph-template::risk_constraint::original_freeform,agent_workflow_templates,langgraph-template,risk_constraint,original_freeform,7,Use the native artifact form or metadata-preserving paraphrase allowed by license.
langgraph-template::risk_constraint::skillops_normalized,agent_workflow_templates,langgraph-template,risk_constraint,skillops_normalized,7,Represent the same operational content with the SkillOps lifecycle fields.
langgraph-template::risk_constraint::skillops_ablation,agent_workflow_templates,langgraph-template,risk_constraint,skillops_ablation,7,Remove or weaken one preregistered lifecycle component while preserving task content.
prompts-chat::positive_trigger::original_freeform,prompt_and_function_recipes,prompts-chat,positive_trigger,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
prompts-chat::positive_trigger::skillops_normalized,prompt_and_function_recipes,prompts-chat,positive_trigger,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
prompts-chat::positive_trigger::skillops_ablation,prompt_and_function_recipes,prompts-chat,positive_trigger,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
prompts-chat::negative_trigger::original_freeform,prompt_and_function_recipes,prompts-chat,negative_trigger,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
prompts-chat::negative_trigger::skillops_normalized,prompt_and_function_recipes,prompts-chat,negative_trigger,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
prompts-chat::negative_trigger::skillops_ablation,prompt_and_function_recipes,prompts-chat,negative_trigger,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
prompts-chat::boundary_clarification::original_freeform,prompt_and_function_recipes,prompts-chat,boundary_clarification,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
prompts-chat::boundary_clarification::skillops_normalized,prompt_and_function_recipes,prompts-chat,boundary_clarification,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
prompts-chat::boundary_clarification::skillops_ablation,prompt_and_function_recipes,prompts-chat,boundary_clarification,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
prompts-chat::risk_constraint::original_freeform,prompt_and_function_recipes,prompts-chat,risk_constraint,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
prompts-chat::risk_constraint::skillops_normalized,prompt_and_function_recipes,prompts-chat,risk_constraint,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
prompts-chat::risk_constraint::skillops_ablation,prompt_and_function_recipes,prompts-chat,risk_constraint,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
open-webui-functions::positive_trigger::original_freeform,prompt_and_function_recipes,open-webui-functions,positive_trigger,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
open-webui-functions::positive_trigger::skillops_normalized,prompt_and_function_recipes,open-webui-functions,positive_trigger,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
open-webui-functions::positive_trigger::skillops_ablation,prompt_and_function_recipes,open-webui-functions,positive_trigger,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
open-webui-functions::negative_trigger::original_freeform,prompt_and_function_recipes,open-webui-functions,negative_trigger,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
open-webui-functions::negative_trigger::skillops_normalized,prompt_and_function_recipes,open-webui-functions,negative_trigger,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
open-webui-functions::negative_trigger::skillops_ablation,prompt_and_function_recipes,open-webui-functions,negative_trigger,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
open-webui-functions::boundary_clarification::original_freeform,prompt_and_function_recipes,open-webui-functions,boundary_clarification,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
open-webui-functions::boundary_clarification::skillops_normalized,prompt_and_function_recipes,open-webui-functions,boundary_clarification,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
open-webui-functions::boundary_clarification::skillops_ablation,prompt_and_function_recipes,open-webui-functions,boundary_clarification,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
open-webui-functions::risk_constraint::original_freeform,prompt_and_function_recipes,open-webui-functions,risk_constraint,original_freeform,25,Use the native artifact form or metadata-preserving paraphrase allowed by license.
open-webui-functions::risk_constraint::skillops_normalized,prompt_and_function_recipes,open-webui-functions,risk_constraint,skillops_normalized,25,Represent the same operational content with the SkillOps lifecycle fields.
open-webui-functions::risk_constraint::skillops_ablation,prompt_and_function_recipes,open-webui-functions,risk_constraint,skillops_ablation,25,Remove or weaken one preregistered lifecycle component while preserving task content.
