experiment,group_type,group_value,metric,aggregation,repeat_index,value,numerator,denominator,notes
memory,condition,full_skillops_memory_policy,correct_forgetting_rate,repeat,2,1.000000,22,22,
memory,condition,full_skillops_memory_policy,correct_forgetting_rate,repeat,3,1.000000,22,22,
memory,condition,full_skillops_memory_policy,correct_forgetting_rate,mean,,1.000000,,,
memory,condition,full_skillops_memory_policy,correct_forgetting_rate,std,,0.000000,,,
memory,condition,full_skillops_memory_policy,current_instruction_adherence_rate,repeat,1,1.000000,22,22,
memory,condition,full_skillops_memory_policy,current_instruction_adherence_rate,repeat,2,1.000000,22,22,
memory,condition,full_skillops_memory_policy,current_instruction_adherence_rate,repeat,3,1.000000,22,22,
memory,condition,full_skillops_memory_policy,current_instruction_adherence_rate,mean,,1.000000,,,
memory,condition,full_skillops_memory_policy,current_instruction_adherence_rate,std,,0.000000,,,
memory,condition,full_skillops_memory_policy,stale_info_usage_rate,repeat,1,0.000000,0,22,
memory,condition,full_skillops_memory_policy,stale_info_usage_rate,repeat,2,0.000000,0,22,
memory,condition,full_skillops_memory_policy,stale_info_usage_rate,repeat,3,0.000000,0,22,
memory,condition,full_skillops_memory_policy,stale_info_usage_rate,mean,,0.000000,,,
memory,condition,full_skillops_memory_policy,stale_info_usage_rate,std,,0.000000,,,
memory,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,repeat,1,0.000000,0,22,
memory,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,repeat,2,0.000000,0,22,
memory,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,repeat,3,0.000000,0,22,
memory,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,mean,,0.000000,,,
memory,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,std,,0.000000,,,
memory,condition,no_forgetting_policy,conflict_resolution_success_rate,repeat,1,0.045455,1,22,
memory,condition,no_forgetting_policy,conflict_resolution_success_rate,repeat,2,0.090909,2,22,
memory,condition,no_forgetting_policy,conflict_resolution_success_rate,repeat,3,0.045455,1,22,
memory,condition,no_forgetting_policy,conflict_resolution_success_rate,mean,,0.060606,,,
memory,condition,no_forgetting_policy,conflict_resolution_success_rate,std,,0.021427,,,
memory,condition,no_forgetting_policy,correct_forgetting_rate,repeat,1,0.000000,0,22,
memory,condition,no_forgetting_policy,correct_forgetting_rate,repeat,2,0.000000,0,22,
memory,condition,no_forgetting_policy,correct_forgetting_rate,repeat,3,0.000000,0,22,
memory,condition,no_forgetting_policy,correct_forgetting_rate,mean,,0.000000,,,
memory,condition,no_forgetting_policy,correct_forgetting_rate,std,,0.000000,,,
memory,condition,no_forgetting_policy,current_instruction_adherence_rate,repeat,1,1.000000,22,22,
memory,condition,no_forgetting_policy,current_instruction_adherence_rate,repeat,2,1.000000,22,22,
memory,condition,no_forgetting_policy,current_instruction_adherence_rate,repeat,3,1.000000,22,22,
memory,condition,no_forgetting_policy,current_instruction_adherence_rate,mean,,1.000000,,,
memory,condition,no_forgetting_policy,current_instruction_adherence_rate,std,,0.000000,,,
memory,condition,no_forgetting_policy,stale_info_usage_rate,repeat,1,0.045455,1,22,
memory,condition,no_forgetting_policy,stale_info_usage_rate,repeat,2,0.045455,1,22,
memory,condition,no_forgetting_policy,stale_info_usage_rate,repeat,3,0.045455,1,22,
memory,condition,no_forgetting_policy,stale_info_usage_rate,mean,,0.045455,,,
memory,condition,no_forgetting_policy,stale_info_usage_rate,std,,0.000000,,,
memory,condition,no_forgetting_policy,unsupported_memory_claim_rate,repeat,1,0.000000,0,22,
memory,condition,no_forgetting_policy,unsupported_memory_claim_rate,repeat,2,0.000000,0,22,
memory,condition,no_forgetting_policy,unsupported_memory_claim_rate,repeat,3,0.000000,0,22,
memory,condition,no_forgetting_policy,unsupported_memory_claim_rate,mean,,0.000000,,,
memory,condition,no_forgetting_policy,unsupported_memory_claim_rate,std,,0.000000,,,
