experiment,provider,model,dimension_type,dimension_value,metric,value,numerator,denominator,notes,raw_output_file
memory_drift_detection,kimi,kimi-k2.7-code,condition,full_skillops_memory_policy,correct_forgetting_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,full_skillops_memory_policy,conflict_resolution_success_rate,0.954545,21,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,no_forgetting_policy,stale_info_usage_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,no_forgetting_policy,current_instruction_adherence_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,no_forgetting_policy,correct_forgetting_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,no_forgetting_policy,conflict_resolution_success_rate,0.045455,1,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,no_forgetting_policy,unsupported_memory_claim_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,current_context_only,stale_info_usage_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,current_context_only,current_instruction_adherence_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,current_context_only,correct_forgetting_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,current_context_only,conflict_resolution_success_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,current_context_only,unsupported_memory_claim_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,overall,all,detection_rate,0.916667,22,24,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,overall,all,false_positive_rate,0.000000,0,24,benign controls,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,overall,all,specificity,1.000000,24,24,benign controls,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,identity_confusion,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,missing_constraints,category_recall,0.666667,2,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,missing_tests,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,over_broad_trigger,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,privacy_leakage,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,prompt_injection,category_recall,0.666667,2,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,stale_memory,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,risk_type,unsafe_file_access,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,relevant_artifact,agent-self-audit,coverage,0.750000,3,4,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,relevant_artifact,lobster-guard,coverage,1.000000,5,5,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,relevant_artifact,persistent-memory,coverage,1.000000,6,6,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,relevant_artifact,skill-design-guide,coverage,1.000000,4,4,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,deepseek,deepseek-v4-flash,relevant_artifact,skill-security-guard,coverage,0.800000,4,5,seeded risk cases,results\experiments\raw\security_guard_20260625T051917Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,overall,all,detection_rate,0.958333,23,24,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,overall,all,false_positive_rate,0.000000,0,24,benign controls,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,overall,all,specificity,1.000000,24,24,benign controls,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,identity_confusion,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,missing_constraints,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,missing_tests,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,over_broad_trigger,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,privacy_leakage,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,prompt_injection,category_recall,0.666667,2,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,stale_memory,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,risk_type,unsafe_file_access,category_recall,1.000000,3,3,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,relevant_artifact,agent-self-audit,coverage,1.000000,4,4,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,relevant_artifact,lobster-guard,coverage,1.000000,5,5,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,relevant_artifact,persistent-memory,coverage,1.000000,6,6,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,relevant_artifact,skill-design-guide,coverage,1.000000,4,4,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
security_guard_detection_rate,kimi,kimi-k2.7-code,relevant_artifact,skill-security-guard,coverage,0.800000,4,5,seeded risk cases,results\experiments\raw\security_guard_20260625T061851Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,skillops,precision,0.750000,15,20,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,skillops,recall,1.000000,15,15,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,skillops,f1,0.857143,15,20,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,skillops,false_trigger_rate_on_should_not_trigger,0.000000,0,12,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,skillops,ambiguity_handling_rate,0.444444,4,9,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,freeform,precision,0.714286,15,21,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,freeform,recall,1.000000,15,15,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,freeform,f1,0.833333,15,21,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,freeform,false_trigger_rate_on_should_not_trigger,0.000000,0,12,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,deepseek,deepseek-v4-flash,prompt_variant,freeform,ambiguity_handling_rate,0.333333,3,9,,results\experiments\raw\trigger_20260625T051034Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,skillops,precision,0.789474,15,19,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,skillops,recall,1.000000,15,15,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,skillops,f1,0.882353,15,19,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,skillops,false_trigger_rate_on_should_not_trigger,0.000000,0,12,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,skillops,ambiguity_handling_rate,0.444444,4,9,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,freeform,precision,0.833333,15,18,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,freeform,recall,1.000000,15,15,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,freeform,f1,0.909091,15,18,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,freeform,false_trigger_rate_on_should_not_trigger,0.000000,0,12,,results\experiments\raw\trigger_20260625T055723Z.jsonl
trigger_routing_accuracy,kimi,kimi-k2.7-code,prompt_variant,freeform,ambiguity_handling_rate,0.666667,6,9,,results\experiments\raw\trigger_20260625T055723Z.jsonl
